,초중고,구
가락2동,3,송파구
가락본동,4,송파구
가리봉동,1,구로구
가양1동,4,강서구
가양2동,3,강서구
가양3동,4,강서구
가회동,4,종로구
갈현2동,10,은평구
강일동,4,강동구
개봉1동,3,구로구
개봉3동,4,구로구
개포1동,2,강남구
개포2동,6,강남구
개포4동,3,강남구
거여1동,2,송파구
거여2동,1,송파구
고덕1동,5,강동구
고덕2동,4,강동구
고척1동,5,구로구
고척2동,4,구로구
공덕동,2,마포구
공릉1동,3,노원구
공릉2동,10,노원구
공항동,4,강서구
광장동,7,광진구
광희동,2,중구
교남동,2,종로구
구로1동,2,구로구
구로2동,2,구로구
구로3동,3,구로구
구로4동,2,구로구
구로5동,4,구로구
구산동,10,은평구
구의1동,2,광진구
구의2동,2,광진구
구의3동,2,광진구
군자동,2,광진구
금호1가동,1,성동구
금호2.3가동,1,성동구
금호4가동,2,성동구
길동,4,강동구
길음1동,4,성북구
낙성대동,1,관악구
난곡동,3,관악구
남가좌1동,1,서대문구
남가좌2동,2,서대문구
남현동,1,관악구
내곡동,2,서초구
노량진1동,4,동작구
녹번동,2,은평구
논현2동,2,강남구
능동,3,광진구
다산동,4,중구
답십리1동,3,동대문구
답십리2동,2,동대문구
당산2동,4,영등포구
대림1동,2,영등포구
대림2동,2,영등포구
대림3동,18,영등포구
대방동,13,동작구
대부동,1,안산시 단원구
대조동,3,은평구
대치1동,4,강남구
대치2동,3,강남구
대치4동,1,강남구
대학동,6,관악구
대흥동,5,마포구
도곡1동,2,강남구
도곡2동,4,강남구
도봉1동,5,도봉구
도봉2동,3,도봉구
도화동,1,마포구
독산1동,6,금천구
독산2동,2,금천구
독산3동,4,금천구
독산4동,1,금천구
돈암1동,4,성북구
돈암2동,2,성북구
동선동,6,성북구
동화동,1,중구
둔촌1동,2,강동구
둔촌2동,5,강동구
등촌1동,1,강서구
등촌2동,6,강서구
등촌3동,10,강서구
마장동,4,성동구
마천1동,1,송파구
마천2동,1,송파구
망우3동,4,중랑구
망우본동,13,중랑구
망원2동,1,마포구
면목2동,2,중랑구
면목3.8동,4,중랑구
면목4동,2,중랑구
면목7동,1,중랑구
면목본동,2,중랑구
명동,2,중구
명일1동,1,강동구
명일2동,3,강동구
목1동,3,양천구
목2동,1,양천구
목3동,1,양천구
목4동,3,양천구
목5동,7,양천구
무악동,1,종로구
묵1동,5,중랑구
묵2동,2,중랑구
문래동,5,영등포구
문정1동,2,송파구
문정2동,1,송파구
미사1동,1,하남시
미성동,8,관악구
미아동,3,강북구
박달2동,10,안양시 만안구
반포1동,1,서초구
반포2동,2,서초구
반포3동,1,서초구
반포4동,14,서초구
반포본동,3,서초구
발산1동,14,강서구
방배2동,2,서초구
방배3동,1,서초구
방배4동,2,서초구
방이1동,3,송파구
방이2동,1,송파구
방학1동,3,도봉구
방학2동,2,도봉구
방학3동,3,도봉구
방화1동,5,강서구
방화2동,3,강서구
방화3동,6,강서구
번1동,2,강북구
번2동,1,강북구
번3동,2,강북구
별내면,1,남양주시
보광동,2,용산구
보라매동,3,관악구
보문동,2,성북구
부암동,4,종로구
북가좌1동,3,서대문구
북아현동,3,서대문구
불광1동,2,은평구
불광2동,7,은평구
사근동,5,성동구
사당1동,2,동작구
사당2동,3,동작구
사당3동,2,동작구
사당5동,4,동작구
사직동,3,종로구
삼각산동,3,강북구
삼선동,5,성북구
삼성1동,3,강남구
삼성2동,1,강남구
삼성동,5,관악구
삼양동,5,강북구
삼전동,3,송파구
삼청동,2,종로구
삼평동,1,성남시 분당구
상계10동,4,노원구
상계1동,4,노원구
상계2동,2,노원구
상계3.4동,2,노원구
상계5동,1,노원구
상계6.7동,6,노원구
상계8동,4,노원구
상계9동,5,노원구
상도1동,3,동작구
상도2동,2,동작구
상도3동,1,동작구
상도4동,3,동작구
상봉1동,4,중랑구
상암동,5,마포구
상일동,8,강동구
서강동,1,마포구
서교동,1,마포구
서림동,1,관악구
서빙고동,2,용산구
서원동,1,관악구
서초1동,2,서초구
서초2동,2,서초구
서초3동,5,서초구
서초4동,3,서초구
석관동,3,성북구
석촌동,9,송파구
성내1동,2,강동구
성북동,17,성북구
성산1동,5,마포구
성산2동,5,마포구
성수1가1동,7,성동구
성수2가1동,3,성동구
성수2가3동,1,성동구
성현동,2,관악구
세곡동,4,강남구
소공동,5,중구
송중동,3,강북구
송천동,6,강북구
송파1동,1,송파구
송파2동,6,송파구
수궁동,8,구로구
수색동,1,은평구
수서동,3,강남구
수유1동,7,강북구
수유3동,1,강북구
숭인2동,3,종로구
시흥1동,4,금천구
시흥2동,6,금천구
시흥3동,5,금천구
시흥4동,1,금천구
시흥5동,2,금천구
신길1동,2,영등포구
신길3동,1,영등포구
신길4동,1,영등포구
신길5동,1,영등포구
신길6동,1,영등포구
신길7동,1,영등포구
신내1동,2,중랑구
신내2동,4,중랑구
신당5동,3,중구
신당동,4,중구
신대방1동,2,동작구
신대방2동,4,동작구
신도림동,3,구로구
신사1동,1,은평구
신사2동,5,은평구
신사동,3,강남구
신선동,1,영도구
신수동,4,마포구
신원동,1,관악구
신월2동,4,양천구
신월3동,7,양천구
신월4동,1,양천구
신월5동,3,양천구
신월6동,2,양천구
신월7동,2,양천구
신정1동,3,양천구
신정2동,3,양천구
신정3동,8,양천구
신정4동,3,양천구
신정6동,2,양천구
신정7동,4,양천구
신촌동,6,서대문구
쌍문1동,4,도봉구
쌍문2동,2,도봉구
쌍문3동,1,도봉구
쌍문4동,7,도봉구
아현동,4,마포구
안암동,3,성북구
암사1동,1,강동구
암사2동,2,강동구
암사3동,2,강동구
압구정동,5,강남구
양재1동,5,서초구
양재2동,2,서초구
양평1동,2,영등포구
양평2동,5,영등포구
여의동,6,영등포구
역삼1동,1,강남구
역삼2동,4,강남구
역촌동,1,은평구
연남동,3,마포구
연성동,2,시흥시
연희동,3,서대문구
염리동,5,마포구
염창동,5,강서구
영덕동,1,용인시 기흥구
영등포동,1,영등포구
영등포본동,4,영등포구
오금동,9,송파구
오류1동,1,구로구
오류2동,9,구로구
오륜동,7,송파구
옥수동,4,성동구
왕십리2동,1,성동구
왕십리도선동,2,성동구
용강동,1,마포구
용답동,1,성동구
용산2가동,4,용산구
용신동,3,동대문구
우이동,1,강북구
우장산동,2,강서구
원효로2동,3,용산구
월계1동,3,노원구
월계2동,9,노원구
월계3동,4,노원구
월곡1동,4,성북구
월곡2동,2,성북구
위례동,2,송파구
은천동,2,관악구
을지로동,1,중구
응봉동,2,성동구
응암1동,3,은평구
응암2동,1,은평구
응암3동,5,은평구
이문1동,2,동대문구
이문2동,1,동대문구
이촌1동,2,용산구
이태원1동,1,용산구
이태원2동,1,용산구
이화동,2,종로구
인수동,3,강북구
인헌동,2,관악구
일원1동,3,강남구
일원2동,1,강남구
일원본동,5,강남구
자양1동,1,광진구
자양2동,7,광진구
자양3동,4,광진구
자양4동,1,광진구
잠실2동,6,송파구
잠실3동,4,송파구
잠실4동,3,송파구
잠실6동,2,송파구
잠실7동,4,송파구
잠실본동,1,송파구
잠원동,2,서초구
장안1동,3,동대문구
장안2동,3,동대문구
장위1동,2,성북구
장위2동,1,성북구
장위3동,3,성북구
장지동,7,송파구
장충동,1,중구
전농1동,2,동대문구
전농2동,8,동대문구
정릉1동,1,성북구
정릉2동,2,성북구
정릉3동,4,성북구
정릉4동,2,성북구
제기동,5,동대문구
조원동,1,관악구
종로1.2.3.4가동,2,종로구
종로5.6가동,1,종로구
종암동,4,성북구
중계1동,5,노원구
중계2.3동,9,노원구
중계4동,6,노원구
중계본동,5,노원구
중곡3동,2,광진구
중곡4동,6,광진구
중림동,4,중구
중앙동,1,관악구
중화1동,5,중랑구
증산동,3,은평구
진관동,11,은평구
창1동,4,도봉구
창2동,1,도봉구
창3동,2,도봉구
창4동,5,도봉구
창5동,3,도봉구
창신1동,1,종로구
창신3동,2,종로구
천연동,3,서대문구
천호1동,4,강동구
천호2동,2,강동구
천호3동,1,강동구
청계동,13,의왕시
청구동,4,중구
청담동,3,강남구
청량리동,3,동대문구
청룡동,9,관악구
청운효자동,7,종로구
청파동,7,용산구
춘의동,9,부천시
충현동,7,서대문구
평창동,1,종로구
풍납1동,2,송파구
풍납2동,6,송파구
풍덕천1동,1,용인시 수지구
필동,3,중구
하계1동,8,노원구
하계2동,3,노원구
한강로동,4,용산구
한남동,1,용산구
합정동,1,마포구
행당1동,1,성동구
행당2동,3,성동구
행운동,5,관악구
혜화동,6,종로구
홍은1동,1,서대문구
홍은2동,5,서대문구
홍제1동,2,서대문구
홍제3동,3,서대문구
화곡1동,3,강서구
화곡2동,1,강서구
화곡4동,4,강서구
화곡6동,2,강서구
화곡본동,2,강서구
화양동,3,광진구
화전동,2,고양시 덕양구
회기동,5,동대문구
효창동,1,용산구
후암동,2,용산구
휘경2동,7,동대문구
흑석동,4,동작구
