,행정동,구,공원개수,문화시설개수,한강공원개수,체육시설개수,관광명소개수,초중고,관광명소개수,대학교개수,지하철개수,호텔개수,총합
0,가양1동,강서구,2,2,,,,4,1,,3,,12
1,고덕2동,강동구,1,2,,,,4,,,,,7
2,고척2동,구로구,1,2,,,,4,,,,,7
4,교남동,종로구,1,1,,,,2,,,,,4
5,금호4가동,성동구,1,,,,,2,,,1,,4
6,노량진1동,동작구,1,1,,,4,4,,,2,,12
7,녹번동,은평구,1,6,,,2,2,,,2,1,14
8,답십리2동,동대문구,1,2,,1,,2,,,,,6
9,도곡1동,강남구,1,1,,,,2,,,1,,5
10,도곡2동,강남구,1,2,,,,4,,,1,,8
11,돈암1동,성북구,2,,,,,4,,,,,6
12,둔촌2동,강동구,1,,,1,,5,,,,,7
13,등촌1동,강서구,1,,,,,1,,,1,1,4
14,마천2동,송파구,1,,,,2,1,,,,,4
15,목2동,양천구,1,,,,4,1,,,1,,7
16,발산1동,강서구,1,,,,,14,,,2,4,21
17,방배2동,서초구,1,,,,2,2,,,1,,6
18,방배3동,서초구,1,,,,,1,,,1,,3
19,방화3동,강서구,1,1,,,2,6,,,1,,11
20,번2동,강북구,1,2,,,,1,,,,,4
21,불광1동,은평구,1,2,,,,2,,,1,2,8
22,불광2동,은평구,1,,,,2,7,,,,,10
23,사당3동,동작구,1,,,,,2,,1,,,4
24,사직동,종로구,2,17,,1,,3,5,,2,,30
25,삼양동,강북구,1,1,,,,5,,,2,,9
26,삼청동,종로구,1,15,,,2,2,1,,,,21
27,상도4동,동작구,1,,,,,3,,,,,4
28,상일동,강동구,1,1,,,,8,,,1,,11
29,서원동,관악구,1,,,,4,1,,,,,6
30,석관동,성북구,1,,,,,3,,1,1,,6
31,세곡동,강남구,2,3,,,,4,,,,,9
32,수궁동,구로구,1,1,,,,8,1,,1,,12
33,신사1동,은평구,1,,,,,1,,,1,,3
34,신사2동,은평구,1,,,,,5,,,1,,7
35,신정3동,양천구,2,1,,,4,8,,,1,,16
36,신정7동,양천구,1,,,,2,4,,,1,,8
37,쌍문4동,도봉구,1,,,,,7,,,,,8
38,약수동,중구,1,1,,,,,,,2,,4
39,양재1동,서초구,1,5,,,,5,,,1,,12
40,연희동,서대문구,2,3,,,,3,,,,,8
41,오금동,송파구,1,1,,,,9,,,1,,12
42,오류1동,구로구,1,2,,,2,1,,,,1,7
43,오류2동,구로구,1,1,,,,9,,1,2,,14
44,용강동,마포구,1,,,,,1,,,,,2
45,용산2가동,용산구,1,3,,,,4,2,,1,,11
46,월곡1동,성북구,1,1,,,,4,,,,,6
47,일원본동,강남구,1,2,,,,5,,,1,,9
48,잠실6동,송파구,1,2,6,,,2,2,,1,,14
49,장지동,송파구,1,,,,,7,,,,,8
50,전농2동,동대문구,1,1,,,,8,,1,,,11
51,종로1.2.3.4가동,종로구,1,50,,,6,2,13,,3,22,97
52,중곡4동,광진구,1,,,,,6,,,,,7
53,진관동,은평구,4,6,,2,,11,1,,1,,25
54,창1동,도봉구,1,2,,,,4,,,,,7
55,천연동,서대문구,1,2,,,,3,2,,,,8
56,청량리동,동대문구,2,2,,,,3,2,,,1,10
57,혜화동,종로구,1,13,,,4,6,1,,,,25
58,홍은2동,서대문구,2,2,,1,2,5,,1,,1,14
59,화곡본동,강서구,1,1,,,,2,,,,,4
60,흑석동,동작구,1,1,,,2,4,,1,1,,10
61,가락1동,송파구,,1,,,,,1,,2,,4
62,가산동,금천구,,2,,,,,,,2,1,5
63,가양2동,강서구,,1,,,,3,,,,,4
64,가회동,종로구,,7,,,,4,3,,,,14
65,강일동,강동구,,1,,,,4,,,,,5
66,개봉1동,구로구,,2,,,2,3,,,1,,8
67,개봉3동,구로구,,1,,,2,4,,,,,7
68,개포2동,강남구,,3,,,,6,,,3,,12
69,개포4동,강남구,,1,,,,3,,,,1,5
70,거여1동,송파구,,1,,,,2,,,1,,4
71,거여2동,송파구,,1,,,,1,,,,,2
72,공릉1동,노원구,,1,,,,3,1,,2,,7
73,공릉2동,노원구,,2,,1,,10,1,2,1,,17
74,광장동,광진구,,5,,,,7,1,1,1,2,17
75,광희동,중구,,5,,,,2,1,,1,8,17
76,구로2동,구로구,,2,,,,2,,,,,4
77,구로3동,구로구,,1,,,3,3,,,2,2,11
78,구로4동,구로구,,2,,,,2,,,,,4
79,구로5동,구로구,,6,,,2,4,,,1,,13
80,구산동,은평구,,2,,,,10,,,,,12
81,구의2동,광진구,,1,,1,2,2,,,1,,7
82,구의3동,광진구,,2,,,,2,,,1,1,6
83,군자동,광진구,,3,,,,2,,1,,1,7
84,금호1가동,성동구,,2,,,,1,,,1,,4
85,길동,강동구,,1,,,,4,,,1,2,8
86,낙성대동,관악구,,1,,2,8,1,2,,,,14
87,남가좌1동,서대문구,,1,,,,1,,,1,,3
88,남영동,용산구,,7,,,,,1,,2,3,13
89,남현동,관악구,,1,,,,1,,,1,,3
90,내곡동,서초구,,3,,,,2,,,1,,6
91,노량진2동,동작구,,2,,,,,1,,,,3
92,논현1동,강남구,,2,,,1,,,,2,7,12
93,논현2동,강남구,,4,,,,2,,,3,2,11
94,능동,광진구,,6,,2,,3,1,,2,,14
95,다산동,중구,,1,,,,4,,,,,5
96,당산1동,영등포구,,2,,,,,,,1,,3
97,당산2동,영등포구,,1,12,,,4,1,,1,2,21
98,대림1동,영등포구,,1,,,,2,,,,,3
99,대림3동,영등포구,,1,,,,18,,,1,,20
100,대방동,동작구,,2,,,2,13,,,2,,19
101,대조동,은평구,,2,,,2,3,,,1,,8
102,대치1동,강남구,,1,,,,4,,,,,5
103,대치2동,강남구,,10,,,,3,,,3,1,17
104,대치4동,강남구,,2,,,,1,,,,2,5
105,대학동,관악구,,5,,,,6,1,1,,,13
106,대흥동,마포구,,6,,,,5,,,3,,14
107,도봉2동,도봉구,,3,,,,3,,,2,,8
108,독산1동,금천구,,3,,1,2,6,,,,1,13
109,독산3동,금천구,,2,,,,4,,,,,6
110,독산4동,금천구,,2,,,2,1,,,,1,6
111,돈암2동,성북구,,2,,,,2,,,,,4
112,동화동,중구,,1,,,,1,,,1,,3
113,등촌2동,강서구,,3,,,,6,,,,1,10
114,등촌3동,강서구,,1,,,,10,,,1,1,13
115,마장동,성동구,,1,,,,4,,,1,,6
116,망우본동,중랑구,,1,,1,,13,,,2,,17
117,면목4동,중랑구,,2,,1,,2,,,1,,6
118,면목7동,중랑구,,1,,,,1,,,,,2
119,면목본동,중랑구,,1,,,,2,1,,1,,5
120,명동,중구,,21,,,12,2,2,,2,18,57
121,목1동,양천구,,5,,5,2,3,,,2,,17
122,목5동,양천구,,1,,,2,7,,,1,,11
123,묵1동,중랑구,,2,,,,5,,,1,,8
124,문래동,영등포구,,5,,,8,5,1,,1,,20
125,미성동,관악구,,2,,,,8,,,,,10
126,반포1동,서초구,,3,,,,1,,,2,,6
127,반포2동,서초구,,3,12,2,,2,1,,1,,21
128,반포4동,서초구,,1,,,,14,,,1,2,18
129,방이2동,송파구,,1,,,,1,,,1,1,4
130,번3동,강북구,,2,,,,2,1,,,,5
131,보광동,용산구,,1,,,,2,,,,,3
132,부암동,종로구,,6,,,,4,3,,,,13
134,사근동,성동구,,1,,,,5,,2,2,,10
135,사당5동,동작구,,1,,,1,4,,,,,6
136,삼성1동,강남구,,6,,,,3,2,,2,3,16
137,삼성2동,강남구,,3,,,,1,1,,1,4,10
138,상계10동,노원구,,1,,,,4,,,,,5
139,상계2동,노원구,,2,,,2,2,,,1,,7
140,상계6.7동,노원구,,4,,,,6,,1,,1,12
141,상도2동,동작구,,1,,,,2,,,1,,4
142,상봉1동,중랑구,,1,,,,4,,,2,,7
143,상봉2동,중랑구,,1,,,,,,,,2,3
144,상암동,마포구,,5,,1,,5,1,,1,1,14
146,서강동,마포구,,3,,,,1,,,2,,6
147,서교동,마포구,,9,,,,1,1,,2,7,20
148,서빙고동,용산구,,5,2,,,2,1,,1,,11
149,서초1동,서초구,,1,,,,2,,,1,2,6
150,서초2동,서초구,,3,,1,,2,,,1,,7
151,서초3동,서초구,,9,,,,5,1,,2,3,20
152,서초4동,서초구,,1,,,4,3,,,,,8
153,성내1동,강동구,,2,,,,2,,,1,,5
154,성내3동,강동구,,1,,,,,,,1,1,3
155,성북동,성북구,,7,,,,17,3,,,,27
156,성산2동,마포구,,2,,,,5,1,,2,,10
157,성수1가1동,성동구,,3,,,,7,1,,1,,12
158,소공동,중구,,18,,,,5,5,,1,7,36
159,송중동,강북구,,2,,,,3,,,1,1,7
160,송천동,강북구,,1,,,,6,,,1,,8
161,송파2동,송파구,,1,,,,6,,,,,7
162,수색동,은평구,,1,,,,1,,,1,,3
163,수서동,강남구,,1,,,,3,,,1,,5
164,수유1동,강북구,,1,,,,7,,,1,,9
165,수유3동,강북구,,1,,,,1,,,,,2
166,숭인1동,종로구,,1,,,,,,,,,1
167,숭인2동,종로구,,2,,,2,3,,,1,1,9
168,시흥1동,금천구,,3,,,2,4,,,1,,10
169,시흥3동,금천구,,2,,,,5,,,,,7
170,시흥4동,금천구,,1,,,,1,,,,,2
171,시흥5동,금천구,,1,,,2,2,,,,,5
172,신길5동,영등포구,,1,,,,1,,,,,2
173,신내2동,중랑구,,1,,,,4,,,1,,6
174,신당동,중구,,2,,,,4,1,,1,,8
175,신도림동,구로구,,1,,,,3,1,,2,1,8
176,신림동,관악구,,1,,,2,,1,,1,2,7
177,신사동,강남구,,4,4,,,3,1,,2,2,16
178,신월7동,양천구,,1,,,,2,,,,,3
179,신정6동,양천구,,4,,,,2,,,,,6
180,신촌동,서대문구,,7,,,12,6,1,2,2,1,31
181,쌍문1동,도봉구,,3,,,,4,,1,,,8
182,아현동,마포구,,1,,,,4,,,2,1,8
183,안암동,성북구,,1,,,,3,,1,1,,6
184,암사1동,강동구,,1,,,,1,,,,,2
185,암사2동,강동구,,3,,1,,2,1,,1,,8
186,압구정동,강남구,,6,,,,5,,,1,2,14
187,양재2동,서초구,,1,,1,,2,1,,1,1,7
188,여의동,영등포구,,5,,1,,6,3,,4,5,24
189,역삼1동,강남구,,13,,,1,1,,,3,12,30
190,역삼2동,강남구,,1,,,,4,,,2,1,8
191,역촌동,은평구,,2,,,,1,,,,,3
192,염창동,강서구,,1,,,4,5,,,,3,13
193,영등포본동,영등포구,,1,,,,4,,,1,,6
194,오륜동,송파구,,10,,,,7,1,,1,,19
195,용답동,성동구,,1,,,,1,,,3,1,6
196,용문동,용산구,,1,,,,,1,,,,2
197,용신동,동대문구,,6,,,,3,,,3,3,15
198,우이동,강북구,,1,,,,1,,,3,,5
199,우장산동,강서구,,2,,,4,2,,,,,8
200,원효로1동,용산구,,5,,,,,,,,,5
201,원효로2동,용산구,,2,,,,3,1,,,,6
202,월계1동,노원구,,1,,,,3,,1,1,,6
203,월계2동,노원구,,1,,,2,9,,1,1,,14
204,월곡2동,성북구,,2,,,,2,,1,2,,7
205,을지로동,중구,,2,,,,1,,,2,4,9
206,응암1동,은평구,,1,,,,3,,,,1,5
207,응암3동,은평구,,1,,,,5,,,,,6
208,이문1동,동대문구,,2,,,,2,,2,1,,7
209,이문2동,동대문구,,1,,,,1,,,1,,3
210,이촌1동,용산구,,2,2,1,,2,,,,,7
211,이촌2동,용산구,,1,,,,,1,,,,2
212,이태원1동,용산구,,3,,,,1,2,,1,4,11
213,이태원2동,용산구,,3,,,,1,1,,,,5
214,이화동,종로구,,21,,,4,2,3,,1,,31
215,인수동,강북구,,2,,,,3,,,,1,6
216,일원2동,강남구,,2,,,,1,,,1,,4
217,자양1동,광진구,,1,,,,1,,,,,2
218,자양3동,광진구,,2,9,1,2,4,1,,1,1,21
219,자양4동,광진구,,3,5,,,1,,,,,9
220,잠실2동,송파구,,2,4,5,,6,1,,1,,19
221,잠실3동,송파구,,8,2,,,4,2,,,1,17
222,잠실본동,송파구,,1,,4,,1,1,,,2,9
223,잠원동,서초구,,1,6,,,2,,,1,2,12
224,장안1동,동대문구,,2,,,,3,,,,3,8
225,장충동,중구,,8,,1,,1,1,,1,4,16
226,전농1동,동대문구,,1,,,,2,,,1,2,6
227,정릉1동,성북구,,1,,,,1,1,,1,,4
228,정릉3동,성북구,,1,,,,4,,1,,,6
229,제기동,동대문구,,2,,,,5,,,1,,8
230,종로5.6가동,종로구,,2,,,,1,1,,2,2,8
231,종암동,성북구,,3,,,,4,,,,1,8
232,중계1동,노원구,,1,,1,1,5,,,,,8
233,중계2.3동,노원구,,2,,,,9,1,,1,,13
234,중계4동,노원구,,1,,,1,6,,,,,8
235,중계본동,노원구,,1,,,,5,,,,,6
236,중곡3동,광진구,,1,,,,2,,,1,,4
237,중림동,중구,,4,,1,,4,1,,1,,11
238,증산동,은평구,,1,,,,3,,,1,,5
239,창4동,도봉구,,3,,1,,5,,,2,,11
240,창5동,도봉구,,2,,,,3,,,,,5
241,창신1동,종로구,,1,,,,1,,,,3,5
242,창신2동,종로구,,1,,,,,,,,,1
243,천호1동,강동구,,2,,,,4,,,1,,7
244,천호2동,강동구,,2,1,,,2,,,,1,6
245,천호3동,강동구,,1,,,,1,,,,,2
246,청구동,중구,,1,,,,4,,,,,5
247,청담동,강남구,,5,,,,3,,,,5,13
248,청운효자동,종로구,,9,,,,7,4,,,,20
249,청파동,용산구,,13,,,,7,,1,,,21
250,충현동,서대문구,,1,,,,7,,2,2,1,13
251,평창동,종로구,,7,,,,1,,,,1,9
252,필동,중구,,11,,,,3,1,,1,6,22
253,한강로동,용산구,,10,,,,4,,,4,,18
254,한남동,용산구,,27,,,,1,2,,2,2,34
255,합정동,마포구,,2,1,,,1,1,,1,1,7
256,행당1동,성동구,,5,,,,1,,,1,,7
257,화곡6동,강서구,,2,,,,2,,1,,4,9
258,화양동,광진구,,2,,,,3,,1,1,,7
259,황학동,중구,,1,,,2,,,,,,3
260,회기동,동대문구,,1,,,,5,,1,,,7
261,회현동,중구,,3,,,8,,3,,3,5,22
262,효창동,용산구,,6,,1,,1,,,1,,9
263,후암동,용산구,,5,,,,2,,,,,7
264,망원1동,마포구,,,2,1,,,1,,,,4
265,반포3동,서초구,,,20,1,,1,,,,,22
266,반포본동,서초구,,,2,,,3,,,1,,6
267,성수2가1동,성동구,,,3,,,3,1,,,,7
268,양평2동,영등포구,,,1,,2,5,,,1,,9
269,자양2동,광진구,,,12,,,7,,,1,,20
270,잠실4동,송파구,,,2,,,3,,,1,,6
271,풍납1동,송파구,,,1,,,2,,,,,3
272,사당2동,동작구,,,,1,,3,,,2,,6
273,상계1동,노원구,,,,1,,4,2,,1,,8
274,신월3동,양천구,,,,1,,7,1,,,,9
275,갈현1동,은평구,,,,,8,,1,,1,,10
276,갈현2동,은평구,,,,,16,10,,,1,,27
277,구의1동,광진구,,,,,8,2,,,,,10
278,대림2동,영등포구,,,,,3,2,,,,,5
279,도림동,영등포구,,,,,1,,,,,,1
280,문정2동,송파구,,,,,2,1,1,,3,,7
281,상계5동,노원구,,,,,1,1,,,1,,3
282,상계9동,노원구,,,,,1,5,,,1,,7
283,상도1동,동작구,,,,,2,3,1,1,2,,9
284,성현동,관악구,,,,,1,2,,,,,3
285,신길3동,영등포구,,,,,5,1,,,,,6
286,신대방1동,동작구,,,,,2,2,,,,,4
287,신월5동,양천구,,,,,4,3,,,,1,8
288,신정4동,양천구,,,,,2,3,,,1,,6
289,인헌동,관악구,,,,,2,2,,,,,4
290,조원동,관악구,,,,,2,1,,,,,3
291,청림동,관악구,,,,,1,,,,,,1
292,행운동,관악구,,,,,2,5,,,2,,9
295,가락2동,송파구,,,,,,3,,,2,,5
296,가락본동,송파구,,,,,,4,,,,2,6
297,가리봉동,구로구,,,,,,1,,,,,1
298,가양3동,강서구,,,,,,4,,,,,4
299,개포1동,강남구,,,,,,2,,,,,2
300,고덕1동,강동구,,,,,,5,,,,,5
301,고척1동,구로구,,,,,,5,,1,,,6
302,공덕동,마포구,,,,,,2,1,,1,,4
303,공항동,강서구,,,,,,4,,,2,1,7
304,구로1동,구로구,,,,,,2,,,1,,3
305,금호2.3가동,성동구,,,,,,1,,,,,1
306,길음1동,성북구,,,,,,4,,,1,,5
307,난곡동,관악구,,,,,,3,,,,,3
308,남가좌2동,서대문구,,,,,,2,,1,,,3
309,답십리1동,동대문구,,,,,,3,,,,,3
311,도봉1동,도봉구,,,,,,5,1,,,,6
312,도화동,마포구,,,,,,1,,,1,1,3
313,독산2동,금천구,,,,,,2,,,,,2
314,동선동,성북구,,,,,,6,,,,2,8
315,둔촌1동,강동구,,,,,,2,,,,,2
316,마천1동,송파구,,,,,,1,,,1,,2
317,망우3동,중랑구,,,,,,4,,,,,4
318,망원2동,마포구,,,,,,1,,,,,1
319,면목2동,중랑구,,,,,,2,,,,,2
320,면목3.8동,중랑구,,,,,,4,,1,1,,6
321,명일1동,강동구,,,,,,1,,,1,,2
322,명일2동,강동구,,,,,,3,,,1,,4
323,목3동,양천구,,,,,,1,,,1,,2
324,목4동,양천구,,,,,,3,,,,,3
325,무악동,종로구,,,,,,1,1,,1,,3
326,묵2동,중랑구,,,,,,2,,,,,2
327,문정1동,송파구,,,,,,2,,,,,2
329,미아동,강북구,,,,,,3,,2,1,,6
331,방배4동,서초구,,,,,,2,,,,,2
332,방이1동,송파구,,,,,,3,,,1,,4
333,방학1동,도봉구,,,,,,3,,,1,,4
334,방학2동,도봉구,,,,,,2,,,,,2
335,방학3동,도봉구,,,,,,3,1,,,,4
336,방화1동,강서구,,,,,,5,,,1,,6
337,방화2동,강서구,,,,,,3,,,3,1,7
338,번1동,강북구,,,,,,2,,,1,1,4
340,보라매동,관악구,,,,,,3,,,,,3
341,보문동,성북구,,,,,,2,,,1,1,4
342,북가좌1동,서대문구,,,,,,3,1,,,,4
343,북아현동,서대문구,,,,,,3,,,,,3
344,사당1동,동작구,,,,,,2,,,,1,3
345,삼각산동,강북구,,,,,,3,,,,,3
346,삼선동,성북구,,,,,,5,,1,2,,8
347,삼성동,관악구,,,,,,5,,,,,5
348,삼전동,송파구,,,,,,3,,,,,3
350,상계3.4동,노원구,,,,,,2,,,1,,3
351,상계8동,노원구,,,,,,4,,,,,4
352,상도3동,동작구,,,,,,1,,,,,1
353,서림동,관악구,,,,,,1,,,,,1
354,석촌동,송파구,,,,,,9,1,,1,2,13
355,성산1동,마포구,,,,,,5,,,,1,6
356,성수2가3동,성동구,,,,,,1,,,1,1,3
357,송파1동,송파구,,,,,,1,,,,,1
358,시흥2동,금천구,,,,,,6,,,,,6
359,신길1동,영등포구,,,,,,2,,,1,,3
360,신길4동,영등포구,,,,,,1,,,,,1
361,신길6동,영등포구,,,,,,1,,,1,,2
362,신길7동,영등포구,,,,,,1,,,1,,2
363,신내1동,중랑구,,,,,,2,,,,,2
364,신당5동,중구,,,,,,3,,,,,3
365,신대방2동,동작구,,,,,,4,1,,,,5
367,신수동,마포구,,,,,,4,,,,,4
368,신원동,관악구,,,,,,1,,,,,1
369,신월2동,양천구,,,,,,4,,,,,4
370,신월4동,양천구,,,,,,1,,,,,1
371,신월6동,양천구,,,,,,2,,,,,2
372,신정1동,양천구,,,,,,3,,,,,3
373,신정2동,양천구,,,,,,3,,,,,3
374,쌍문2동,도봉구,,,,,,2,,,,,2
375,쌍문3동,도봉구,,,,,,1,,,1,1,3
376,암사3동,강동구,,,,,,2,,,,,2
377,양평1동,영등포구,,,,,,2,,,1,4,7
378,연남동,마포구,,,,,,3,,,,,3
380,염리동,마포구,,,,,,5,,,,,5
382,영등포동,영등포구,,,,,,1,1,,1,5,8
383,옥수동,성동구,,,,,,4,,,1,,5
384,왕십리2동,성동구,,,,,,1,,,1,,2
385,왕십리도선동,성동구,,,,,,2,,,,3,5
386,월계3동,노원구,,,,,,4,,,,,4
387,위례동,송파구,,,,,,2,,,,,2
388,은천동,관악구,,,,,,2,,,1,,3
389,응봉동,성동구,,,,,,2,,,1,,3
390,응암2동,은평구,,,,,,1,,,,,1
391,일원1동,강남구,,,,,,3,,,,,3
392,잠실7동,송파구,,,,,,4,,,1,,5
393,장안2동,동대문구,,,,,,3,,,,2,5
394,장위1동,성북구,,,,,,2,,,,,2
395,장위2동,성북구,,,,,,1,,,1,,2
396,장위3동,성북구,,,,,,3,,,,,3
397,정릉2동,성북구,,,,,,2,,,,,2
398,정릉4동,성북구,,,,,,2,,1,1,,4
399,중앙동,관악구,,,,,,1,,,,,1
400,중화1동,중랑구,,,,,,5,,,1,,6
401,창2동,도봉구,,,,,,1,,,,,1
402,창3동,도봉구,,,,,,2,,,,,2
403,창신3동,종로구,,,,,,2,,,1,,3
405,청룡동,관악구,,,,,,9,,,,,9
407,풍납2동,송파구,,,,,,6,,,,,6
409,하계1동,노원구,,,,,,8,,1,1,,10
410,하계2동,노원구,,,,,,3,,,,,3
411,행당2동,성동구,,,,,,3,,,1,,4
412,홍은1동,서대문구,,,,,,1,,,,,1
413,홍제1동,서대문구,,,,,,2,,1,,,3
414,홍제3동,서대문구,,,,,,3,,,1,,4
415,화곡1동,강서구,,,,,,3,,,2,7,12
416,화곡2동,강서구,,,,,,1,,,,,1
417,화곡4동,강서구,,,,,,4,,,,,4
419,휘경2동,동대문구,,,,,,7,,1,,,8
424,방배1동,서초구,,,,,,,,,1,,1
426,사당4동,동작구,,,,,,,,,1,,1
427,성내2동,강동구,,,,,,,,,2,1,3
428,성수1가2동,성동구,,,,,,,,,1,,1
429,수유2동,강북구,,,,,,,,,1,1,2
430,신포동,중구,,,,,,,,,1,,1
434,영종동,중구,,,,,,,,,1,,1
437,운서동,중구,,,,,,,,,1,,1
440,중화2동,중랑구,,,,,,,,,1,,1
441,홍제2동,서대문구,,,,,,,,,1,,1
442,휘경1동,동대문구,,,,,,,,,1,1,2
