,행정동,구,공원개수,공원개수_w,문화시설개수,문화시설개수_w,한강공원개수,한강공원개수_w,체육시설개수,체육시설개수_w,보행자도로개수,보행자도로개수_w,초중고,초중고_w,관광명소개수,관광명소개수_w,지하철개수,지하철개수_w,호텔개수,호텔개수_w,대학교개수,대학교개수_w,총합,가중치총합
0,가양1동,강서구,2,0.00084507,2,0.000337224,,0,,0,,0,4,0.000030722,1,0.001162791,3,0.000402685,,0,,0,12,0.002778492
1,고덕2동,강동구,1,0.000422535,2,0.000337224,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,7,0.000790482
2,고척2동,구로구,1,0.000422535,2,0.000337224,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,7,0.000790482
3,교남동,종로구,1,0.000422535,1,0.000168612,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,4,0.000606508
4,금호4가동,성동구,1,0.000422535,,0,,0,,0,,0,2,0.000015361,,0,1,0.000134228,,0,,0,4,0.000572124
5,노량진1동,동작구,1,0.000422535,1,0.000168612,,0,,0,4,0.001278539,4,0.000030722,,0,2,0.000268456,,0,,0,12,0.002168865
6,녹번동,은평구,1,0.000422535,6,0.001011673,,0,,0,2,0.000639269,2,0.000015361,,0,2,0.000268456,1,0.00003876,,0,14,0.002396055
7,답십리2동,동대문구,1,0.000422535,2,0.000337224,,0,1,0.001041667,,0,2,0.000015361,,0,,0,,0,,0,6,0.001816787
8,도곡1동,강남구,1,0.000422535,1,0.000168612,,0,,0,,0,2,0.000015361,,0,1,0.000134228,,0,,0,5,0.000740737
9,도곡2동,강남구,1,0.000422535,2,0.000337224,,0,,0,,0,4,0.000030722,,0,1,0.000134228,,0,,0,8,0.00092471
10,돈암1동,성북구,2,0.00084507,,0,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,6,0.000875792
11,둔촌2동,강동구,1,0.000422535,,0,,0,1,0.001041667,,0,5,0.000038402,,0,,0,,0,,0,7,0.001502604
12,등촌1동,강서구,1,0.000422535,,0,,0,,0,,0,1,0.00000768,,0,1,0.000134228,1,0.00003876,,0,4,0.000603204
13,마천2동,송파구,1,0.000422535,,0,,0,,0,2,0.000639269,1,0.00000768,,0,,0,,0,,0,4,0.001069485
14,목2동,양천구,1,0.000422535,,0,,0,,0,4,0.001278539,1,0.00000768,,0,1,0.000134228,,0,,0,7,0.001842983
15,발산1동,강서구,1,0.000422535,,0,,0,,0,,0,14,0.000107527,,0,2,0.000268456,4,0.000155039,,0,21,0.000953557
16,방배2동,서초구,1,0.000422535,,0,,0,,0,2,0.000639269,2,0.000015361,,0,1,0.000134228,,0,,0,6,0.001211394
17,방배3동,서초구,1,0.000422535,,0,,0,,0,,0,1,0.00000768,,0,1,0.000134228,,0,1,0.000172414,4,0.000736858
18,방화3동,강서구,1,0.000422535,1,0.000168612,,0,,0,2,0.000639269,6,0.000046083,,0,1,0.000134228,,0,,0,11,0.001410728
19,번2동,강북구,1,0.000422535,2,0.000337224,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,4,0.00076744
20,불광1동,은평구,1,0.000422535,2,0.000337224,,0,,0,,0,2,0.000015361,,0,1,0.000134228,2,0.000077519,,0,8,0.000986868
21,불광2동,은평구,1,0.000422535,,0,,0,,0,2,0.000639269,7,0.000053763,,0,,0,,0,,0,10,0.001115568
22,사당3동,동작구,1,0.000422535,,0,,0,,0,,0,2,0.000015361,,0,,0,,0,1,0.000172414,4,0.00061031
23,사직동,종로구,2,0.00084507,17,0.002866407,,0,1,0.001041667,,0,3,0.000023041,5,0.005813953,2,0.000268456,,0,,0,30,0.010858596
24,삼양동,강북구,1,0.000422535,1,0.000168612,,0,,0,,0,5,0.000038402,,0,2,0.000268456,,0,,0,9,0.000898006
25,삼청동,종로구,1,0.000422535,15,0.002529183,,0,,0,2,0.000639269,2,0.000015361,1,0.001162791,,0,,0,,0,21,0.004769139
26,상도4동,동작구,1,0.000422535,,0,,0,,0,,0,3,0.000023041,,0,,0,,0,,0,4,0.000445577
27,상일동,강동구,1,0.000422535,1,0.000168612,,0,,0,,0,8,0.000061444,,0,1,0.000134228,,0,,0,11,0.00078682
28,서원동,관악구,1,0.000422535,,0,,0,,0,4,0.001278539,1,0.00000768,,0,,0,,0,,0,6,0.001708755
29,석관동,성북구,1,0.000422535,,0,,0,,0,,0,3,0.000023041,,0,1,0.000134228,,0,1,0.000172414,6,0.000752219
30,세곡동,강남구,2,0.00084507,3,0.000505837,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,9,0.001381629
31,수궁동,구로구,1,0.000422535,1,0.000168612,,0,,0,,0,8,0.000061444,1,0.001162791,1,0.000134228,,0,,0,12,0.00194961
32,신사1동,은평구,1,0.000422535,,0,,0,,0,,0,1,0.00000768,,0,1,0.000134228,,0,1,0.000172414,4,0.000736858
33,신사2동,은평구,1,0.000422535,,0,,0,,0,,0,5,0.000038402,,0,1,0.000134228,,0,,0,7,0.000595166
34,신정3동,양천구,2,0.00084507,1,0.000168612,,0,,0,4,0.001278539,8,0.000061444,,0,1,0.000134228,,0,,0,16,0.002487894
35,신정7동,양천구,1,0.000422535,,0,,0,,0,2,0.000639269,4,0.000030722,,0,1,0.000134228,,0,,0,8,0.001226755
36,쌍문4동,도봉구,1,0.000422535,,0,,0,,0,,0,7,0.000053763,,0,,0,,0,,0,8,0.000476299
37,약수동,중구,1,0.000422535,1,0.000168612,,0,,0,,0,,0,,0,2,0.000268456,,0,,0,4,0.000859604
38,양재1동,서초구,1,0.000422535,5,0.000843061,,0,,0,,0,5,0.000038402,,0,1,0.000134228,,0,,0,12,0.001438227
39,연희동,서대문구,2,0.00084507,3,0.000505837,,0,,0,,0,3,0.000023041,,0,,0,,0,,0,8,0.001373948
40,오금동,송파구,1,0.000422535,1,0.000168612,,0,,0,,0,9,0.000069124,,0,1,0.000134228,,0,,0,12,0.0007945
41,오류1동,구로구,1,0.000422535,2,0.000337224,,0,,0,2,0.000639269,1,0.00000768,,0,,0,1,0.00003876,,0,7,0.001445469
42,오류2동,구로구,1,0.000422535,1,0.000168612,,0,,0,,0,9,0.000069124,,0,2,0.000268456,,0,1,0.000172414,14,0.001101142
43,용강동,마포구,1,0.000422535,,0,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,2,0.000430216
44,용산2가동,용산구,1,0.000422535,3,0.000505837,,0,,0,,0,4,0.000030722,2,0.002325581,1,0.000134228,,0,,0,11,0.003418903
45,월곡1동,성북구,1,0.000422535,1,0.000168612,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,6,0.000621869
46,일원본동,강남구,1,0.000422535,2,0.000337224,,0,,0,,0,5,0.000038402,,0,1,0.000134228,,0,,0,9,0.00093239
47,잠실6동,송파구,1,0.000422535,2,0.000337224,6,0.027522936,,0,,0,2,0.000015361,2,0.002325581,1,0.000134228,,0,,0,14,0.030757866
48,장지동,송파구,1,0.000422535,,0,,0,,0,,0,7,0.000053763,,0,,0,,0,,0,8,0.000476299
49,전농2동,동대문구,1,0.000422535,1,0.000168612,,0,,0,,0,8,0.000061444,,0,,0,,0,1,0.000172414,11,0.000825005
50,종로1.2.3.4가동,종로구,1,0.000422535,50,0.00843061,,0,,0,6,0.001917808,2,0.000015361,13,0.015116279,3,0.000402685,22,0.000852713,,0,97,0.027157991
51,중곡4동,광진구,1,0.000422535,,0,,0,,0,,0,6,0.000046083,,0,,0,,0,,0,7,0.000468618
52,진관동,은평구,4,0.001690141,6,0.001011673,,0,2,0.002083333,,0,11,0.000084485,1,0.001162791,1,0.000134228,,0,,0,25,0.006166652
53,창1동,도봉구,1,0.000422535,2,0.000337224,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,7,0.000790482
54,천연동,서대문구,1,0.000422535,2,0.000337224,,0,,0,,0,3,0.000023041,2,0.002325581,,0,,0,,0,8,0.003108382
55,청량리동,동대문구,2,0.00084507,2,0.000337224,,0,,0,,0,3,0.000023041,2,0.002325581,,0,1,0.00003876,,0,10,0.003569677
56,혜화동,종로구,1,0.000422535,13,0.002191958,,0,,0,4,0.001278539,6,0.000046083,1,0.001162791,,0,,0,2,0.000344828,27,0.005446734
57,홍은2동,서대문구,2,0.00084507,2,0.000337224,,0,1,0.001041667,2,0.000639269,5,0.000038402,,0,,0,1,0.00003876,1,0.000172414,14,0.003112807
58,화곡본동,강서구,1,0.000422535,1,0.000168612,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,4,0.000606508
59,흑석동,동작구,1,0.000422535,1,0.000168612,,0,,0,2,0.000639269,4,0.000030722,,0,1,0.000134228,,0,2,0.000344828,11,0.001740195
60,가락1동,송파구,,0,1,0.000168612,,0,,0,,0,,0,1,0.001162791,2,0.000268456,,0,,0,4,0.001599859
61,가산동,금천구,,0,2,0.000337224,,0,,0,,0,,0,,0,2,0.000268456,1,0.00003876,,0,5,0.00064444
62,가양2동,강서구,,0,1,0.000168612,,0,,0,,0,3,0.000023041,,0,,0,,0,,0,4,0.000191654
63,가회동,종로구,,0,7,0.001180285,,0,,0,,0,4,0.000030722,3,0.003488372,,0,,0,,0,14,0.004699379
64,강일동,강동구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,5,0.000199334
65,개봉1동,구로구,,0,2,0.000337224,,0,,0,2,0.000639269,3,0.000023041,,0,1,0.000134228,,0,,0,8,0.001133763
66,개봉3동,구로구,,0,1,0.000168612,,0,,0,2,0.000639269,4,0.000030722,,0,,0,,0,,0,7,0.000838604
67,개포2동,강남구,,0,3,0.000505837,,0,,0,,0,6,0.000046083,,0,3,0.000402685,,0,,0,12,0.000954604
68,개포4동,강남구,,0,1,0.000168612,,0,,0,,0,3,0.000023041,,0,,0,1,0.00003876,,0,5,0.000230413
69,거여1동,송파구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,,0,1,0.000134228,,0,,0,4,0.000318201
70,거여2동,송파구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,2,0.000176293
71,공릉1동,노원구,,0,1,0.000168612,,0,,0,,0,3,0.000023041,1,0.001162791,2,0.000268456,,0,,0,7,0.001622901
72,공릉2동,노원구,,0,2,0.000337224,,0,1,0.001041667,,0,10,0.000076805,1,0.001162791,1,0.000134228,,0,2,0.000344828,17,0.003097542
73,광장동,광진구,,0,5,0.000843061,,0,,0,,0,7,0.000053763,1,0.001162791,1,0.000134228,2,0.000077519,1,0.000172414,17,0.002443776
74,광희동,중구,,0,5,0.000843061,,0,,0,,0,2,0.000015361,1,0.001162791,1,0.000134228,8,0.000310078,,0,17,0.002465518
75,구로2동,구로구,,0,2,0.000337224,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,4,0.000352585
76,구로3동,구로구,,0,1,0.000168612,,0,,0,3,0.000958904,3,0.000023041,,0,2,0.000268456,2,0.000077519,,0,11,0.001496534
77,구로4동,구로구,,0,2,0.000337224,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,4,0.000352585
78,구로5동,구로구,,0,6,0.001011673,,0,,0,2,0.000639269,4,0.000030722,,0,1,0.000134228,,0,,0,13,0.001815893
79,구산동,은평구,,0,2,0.000337224,,0,,0,,0,10,0.000076805,,0,,0,,0,,0,12,0.000414029
80,구의2동,광진구,,0,1,0.000168612,,0,1,0.001041667,2,0.000639269,2,0.000015361,,0,1,0.000134228,,0,,0,7,0.001999137
81,구의3동,광진구,,0,2,0.000337224,,0,,0,,0,2,0.000015361,,0,1,0.000134228,1,0.00003876,,0,6,0.000525573
82,군자동,광진구,,0,3,0.000505837,,0,,0,,0,2,0.000015361,,0,,0,1,0.00003876,1,0.000172414,7,0.000732371
83,금호1가동,성동구,,0,2,0.000337224,,0,,0,,0,1,0.00000768,,0,1,0.000134228,,0,,0,4,0.000479133
84,길동,강동구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,1,0.000134228,2,0.000077519,,0,8,0.000411082
85,낙성대동,관악구,,0,1,0.000168612,,0,2,0.002083333,8,0.002557078,1,0.00000768,2,0.002325581,,0,,0,,0,14,0.007142285
86,남가좌1동,서대문구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,1,0.000134228,,0,,0,3,0.000310521
87,남영동,용산구,,0,7,0.001180285,,0,,0,,0,,0,1,0.001162791,2,0.000268456,3,0.000116279,,0,13,0.002727811
88,남현동,관악구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,1,0.000134228,,0,,0,3,0.000310521
89,내곡동,서초구,,0,3,0.000505837,,0,,0,,0,2,0.000015361,,0,1,0.000134228,,0,,0,6,0.000655426
90,노량진2동,동작구,,0,2,0.000337224,,0,,0,,0,,0,1,0.001162791,,0,,0,,0,3,0.001500015
91,논현1동,강남구,,0,2,0.000337224,,0,,0,1,0.000319635,,0,,0,2,0.000268456,7,0.000271318,,0,12,0.001196633
92,논현2동,강남구,,0,4,0.000674449,,0,,0,,0,2,0.000015361,,0,3,0.000402685,2,0.000077519,1,0.000172414,12,0.001342427
93,능동,광진구,,0,6,0.001011673,,0,2,0.002083333,,0,3,0.000023041,1,0.001162791,2,0.000268456,,0,,0,14,0.004549295
94,다산동,중구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,5,0.000199334
95,당산1동,영등포구,,0,2,0.000337224,,0,,0,,0,,0,,0,1,0.000134228,,0,,0,3,0.000471453
96,당산2동,영등포구,,0,1,0.000168612,12,0.055045872,,0,,0,4,0.000030722,1,0.001162791,1,0.000134228,2,0.000077519,,0,21,0.056619744
97,대림1동,영등포구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,3,0.000183973
98,대림3동,영등포구,,0,1,0.000168612,,0,,0,,0,18,0.000138249,,0,1,0.000134228,,0,,0,20,0.000441089
99,대방동,동작구,,0,2,0.000337224,,0,,0,2,0.000639269,13,0.000099846,,0,2,0.000268456,,0,,0,19,0.001344797
100,대조동,은평구,,0,2,0.000337224,,0,,0,2,0.000639269,3,0.000023041,,0,1,0.000134228,,0,,0,8,0.001133763
101,대치1동,강남구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,5,0.000199334
102,대치2동,강남구,,0,10,0.001686122,,0,,0,,0,3,0.000023041,,0,3,0.000402685,1,0.00003876,,0,17,0.002150608
103,대치4동,강남구,,0,2,0.000337224,,0,,0,,0,1,0.00000768,,0,,0,2,0.000077519,,0,5,0.000422424
104,대학동,관악구,,0,5,0.000843061,,0,,0,,0,6,0.000046083,1,0.001162791,,0,,0,1,0.000172414,13,0.002224348
105,대흥동,마포구,,0,6,0.001011673,,0,,0,,0,5,0.000038402,,0,3,0.000402685,,0,1,0.000172414,15,0.001625174
106,도봉2동,도봉구,,0,3,0.000505837,,0,,0,,0,3,0.000023041,,0,2,0.000268456,,0,,0,8,0.000797334
107,독산1동,금천구,,0,3,0.000505837,,0,1,0.001041667,2,0.000639269,6,0.000046083,,0,,0,1,0.00003876,,0,13,0.002271615
108,독산3동,금천구,,0,2,0.000337224,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,6,0.000367946
109,독산4동,금천구,,0,2,0.000337224,,0,,0,2,0.000639269,1,0.00000768,,0,,0,1,0.00003876,,0,6,0.001022934
110,돈암2동,성북구,,0,2,0.000337224,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,4,0.000352585
111,동화동,중구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,1,0.000134228,,0,,0,3,0.000310521
112,등촌2동,강서구,,0,3,0.000505837,,0,,0,,0,6,0.000046083,,0,,0,1,0.00003876,,0,10,0.000590679
113,등촌3동,강서구,,0,1,0.000168612,,0,,0,,0,10,0.000076805,,0,1,0.000134228,1,0.00003876,,0,13,0.000418405
114,마장동,성동구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,1,0.000134228,,0,,0,6,0.000333562
115,망우본동,중랑구,,0,1,0.000168612,,0,1,0.001041667,,0,13,0.000099846,,0,2,0.000268456,,0,,0,17,0.001578582
116,면목4동,중랑구,,0,2,0.000337224,,0,1,0.001041667,,0,2,0.000015361,,0,1,0.000134228,,0,,0,6,0.00152848
117,면목7동,중랑구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,2,0.000176293
118,면목본동,중랑구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,1,0.001162791,1,0.000134228,,0,,0,5,0.001480992
119,명동,중구,,0,21,0.003540856,,0,,0,12,0.003835616,2,0.000015361,2,0.002325581,2,0.000268456,18,0.000697674,,0,57,0.010683546
120,목1동,양천구,,0,5,0.000843061,,0,5,0.005208333,2,0.000639269,3,0.000023041,,0,2,0.000268456,,0,,0,17,0.006982162
121,목5동,양천구,,0,1,0.000168612,,0,,0,2,0.000639269,7,0.000053763,,0,1,0.000134228,,0,,0,11,0.000995873
122,묵1동,중랑구,,0,2,0.000337224,,0,,0,,0,5,0.000038402,,0,1,0.000134228,,0,,0,8,0.000509855
123,문래동,영등포구,,0,5,0.000843061,,0,,0,8,0.002557078,5,0.000038402,1,0.001162791,1,0.000134228,,0,,0,20,0.00473556
124,미성동,관악구,,0,2,0.000337224,,0,,0,,0,8,0.000061444,,0,,0,,0,,0,10,0.000398668
125,반포1동,서초구,,0,3,0.000505837,,0,,0,,0,1,0.00000768,,0,2,0.000268456,,0,,0,6,0.000781973
